"","id","weights","Region","State","Gender","SES","Age","Income","Expenses","Edu","Interest","KnowCat","PartyID","SupportPT","Ideology","VoteInt","PresPref","PresPref.rmdk","Strategic","PresPred_1","PresPred_2","PresPred_3","PredConf","IDParty","PartyID1","PartyID1_Other","IDParty2","PartyID2","PartyID2_Other","VoteInt1","VoteInt1_Other","VoteInt2","VoteInt2_Other","PresPref_Other","KB1c","KB2c","KB3c","KB4c","KB5c","KB6c","KB7c","KB8c","KB9c","KBpca"
"406",1343,0.1,"Sul","Paraná","Male","B1",33,"R$1.800 – R$3.399","Rarely","Ensino universitário completo","Somewhat","High","Outros","Oppose Totally","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Marina Silva (REDE)","João Amoêdo (NOVO)","Ciro Gomes (PDT)","Very","Sim",NA,"Outros",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Incorrect","Correct","Incorrect","Correct","Correct","Don't Know","Correct","Correct","Correct",-0.401413448962088
"407",3423,0.06,"Centro Oeste","Distrito Federal","Female","B1",21,"R$3.400 – R$9.999","Rarely","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Very","Highest","Partido Verde (PV)","Support Partially","Left","Marina Silva (REDE)","João Amoêdo (NOVO)","João Amoêdo (NOVO)",1,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Fernando Haddad (PT)","Somewhat","Sim","Partido Verde (PV)","",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Correct","Don't Know","Correct","Don't Know","Correct","Correct","Incorrect","Correct","Don't Know",-1.00579057970051
"408",3178,0.05,"Sudeste","Espírito Santo","Male","B2",37,"R$1.800 – R$3.399","Sometimes","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Somewhat","Low",NA,"Support Partially","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Somewhat","Não",NA,"","Não",NA,"","Marina Silva (REDE)","",NA,NA,"","Correct","Incorrect","Incorrect","Don't Know","Incorrect","Incorrect","Correct","Correct","Correct",0.0381284868173019
"409",704,0.05,"Centro Oeste","Mato Grosso","Female","B2",38,"R$3.400 – R$9.999","Rarely","Ensino universitário completo","Somewhat","Highest","Partido Comunista do Brasil (PCdoB)","Support Partially","Right","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Somewhat","Sim","Partido Comunista do Brasil (PCdoB)","",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Correct","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Correct","Don't Know",-1.40357657744054
"410",823,0.05,"Sudeste","São Paulo","Female","B2",35,"R$1.800 – R$3.399","Sometimes","Ensino universitário completo","A little","Highest","Partido Verde (PV)","Oppose Partially","Don't Know","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Somewhat","Sim","Partido Verde (PV)","",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Correct","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",-0.480838736114607
"411",2143,0.04,"Nordeste","Pernambuco","Female","B2",26,"R$3.400 – R$9.999","Sometimes","Ensino universitário completo","Very","Low","Partido dos Trabalhadores (PT)","Support Partially","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Marina Silva (REDE)","A little","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.532733933419229
"412",4523,0.04,"Nordeste","Maranhão","Female","B2",27,"R$900 – R$1.199","Always","Colegial completo (3ª série do ensino médio)","A little","Highest","Democratas (DEM)","Support Partially","Center","Marina Silva (REDE)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",1,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","A little","Não",NA,"","Sim","Democratas (DEM)","","Marina Silva (REDE)","",NA,NA,"","Correct","Incorrect","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Correct",-1.02136508691733
"413",2448,0.04,"Sul","Santa Catarina","Female","B2",41,"R$900 – R$1.199","Always","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Very","Low",NA,"Support Partially","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Marina Silva (REDE)","Ciro Gomes (PDT)","Jair Bolsonaro (PSL)","Somewhat","Não",NA,"","Sim",NA,"Outros","Marina Silva (REDE)","",NA,NA,"","Incorrect","Don't Know","Correct","Don't Know","Don't Know","Don't Know","Correct","Correct","Incorrect",0.465017986610908
"414",3382,0.03,"Sudeste","Minas Gerais","Female","B2",26,"R$1.800 – R$3.399","Sometimes","Colegial completo (3ª série do ensino médio)","Very","Low",NA,"Oppose Partially","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Marina Silva (REDE)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Somewhat","Não",NA,"","Não",NA,"","Marina Silva (REDE)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"415",3330,0.01,"Centro Oeste","Distrito Federal","Female","B2",22,NA,"Sometimes","Pós-graduação incompleto","A little","Low",NA,"Neutral","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Marina Silva (REDE)","Ciro Gomes (PDT)","Henrique Meirelles (MDB)","Somewhat","Não",NA,"","Não",NA,"","Marina Silva (REDE)","",NA,NA,"","Correct","Don't Know","Incorrect","Don't Know","Don't Know","Incorrect","Incorrect","Correct","Correct",0.121418940842445
"416",1459,0.01,"Sudeste","São Paulo","Female","B2",21,"R$1.200 – R$1.799","Often","Colegial completo (3ª série do ensino médio)","A little","Lowest","Outros","Support Partially","Center","Marina Silva (REDE)","Marina Silva (REDE)","Marina Silva (REDE)",0,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Marina Silva (REDE)","Very","Sim",NA,"Outros",NA,NA,"","Marina Silva (REDE)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"417",2296,16.79,"Sudeste","Rio de Janeiro","Male","C1",60,"R$1.800 – R$3.399","Sometimes","Colegial completo (3ª série do ensino médio)","Somewhat","Low","Movimento Democrático Brasileiro (MDB)","Oppose Totally","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Alvaro Dias (PODE)","Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Somewhat","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Correct","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Correct","Correct","Correct",0.0381284868173019
"418",1015,11.5,"Sul","Rio Grande do Sul","Female","C1",59,"R$1.800 – R$3.399","Always","Colegial completo (3ª série do ensino médio)","Somewhat","Low","Movimento Democrático Brasileiro (MDB)","Oppose Partially","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","Somewhat","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"419",1674,6,"Nordeste","Pernambuco","Female","C2",45,"R$1.800 – R$3.399","Sometimes","Colegial incompleto (até 2ª série do ensino médio)","Not at all","Low",NA,"Oppose Totally","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Geraldo Alckmin (PSDB)","Henrique Meirelles (MDB)","Fernando Haddad (PT)","A little","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"420",1677,4.97,"Sudeste","São Paulo","Male","C2",51,"R$1.800 – R$3.399","Always","Colegial completo (3ª série do ensino médio)","Very","Lowest","Movimento Democrático Brasileiro (MDB)","Oppose Totally","Right","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Sim","Movimento Democrático Brasileiro (MDB)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"421",4796,4.24,"Nordeste","Pernambuco","Female","B1",56,"R$3.400 – R$9.999","Often","Ensino universitário completo","Somewhat","Highest",NA,"Neutral","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Ciro Gomes (PDT)","Fernando Haddad (PT)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Correct","Don't Know","Correct","Correct","Incorrect","Correct","Correct",-0.544153802024772
"422",1723,3.13,"Sudeste","Minas Gerais","Female","D-E",35,"R$600 – R$899","Always","Primário completo (4ª serie do ensino fundamental)","A little","Lowest",NA,"Don't Know","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Alvaro Dias (PODE)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Incorrect","Don't Know","Incorrect","Incorrect","Correct","Correct",0.616024387444372
"423",2741,2.91,"Norte","Rondônia","Female","C2",37,"R$600 – R$899","Always","Ensino universitário completo","A little","Lowest","Movimento Democrático Brasileiro (MDB)","Support Partially","Don't Know","Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",1,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Very","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"424",3789,2.89,"Nordeste","Bahia","Male","D-E",34,"R$300 - R$599","Often","Primário incompleto (até 3ª serie do ensino fundamental)","A little","Lowest",NA,"Don't Know","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Somewhat","Não sei",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"425",2119,2.85,"Sudeste","São Paulo","Female","C1",47,"R$3.400 – R$9.999","Sometimes","Ginásio completo (8ª série do ensino fundamental)","Somewhat","Low",NA,"Neutral","Right","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",0.0137667104873203
"426",2600,2.57,"Nordeste","Ceará","Female","D-E",26,"R$1.800 – R$3.399","Sometimes","Primário incompleto (até 3ª serie do ensino fundamental)","A little","Low",NA,"Support Partially","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Somewhat","Não",NA,"","Sim",NA,"Partido dos Trabalhadores (PT)","Henrique Meirelles (MDB)","",NA,NA,"","Correct","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.0381284868173019
"427",2629,1.98,"Norte","Amazonas","Male","C2",30,"R$1.800 – R$3.399","Sometimes","Colegial completo (3ª série do ensino médio)","Very","Lowest","Partido Verde (PV)","Oppose Totally","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Marina Silva (REDE)","Somewhat","Sim","Partido Verde (PV)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Incorrect",0.648993056370565
"428",2060,1.89,"Sudeste","Minas Gerais","Female","D-E",26,"R$600 – R$899","Always","Colegial completo (3ª série do ensino médio)","A little","Low",NA,"Neutral","Don't Know","Henrique Meirelles (MDB)","Don't Know",NA,NA,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",0.0137667104873203
"429",5053,1.7,"Centro Oeste","Goiás","Male","C2",40,"R$900 – R$1.199","Sometimes","Colegial completo (3ª série do ensino médio)","Somewhat","Highest",NA,"Support Partially","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Henrique Meirelles (MDB)","Somewhat","Não sei",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Correct","Correct","Correct","Correct","Correct","Don't Know",-0.908971130838616
"430",3326,1.42,"Sudeste","Minas Gerais","Female","C2",40,"R$300 - R$599","Always","Ginásio completo (8ª série do ensino fundamental)","A little","Low",NA,"Neutral","Center","Henrique Meirelles (MDB)","Geraldo Alckmin (PSDB)","Geraldo Alckmin (PSDB)",1,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Correct","Correct",0.0970571645124638
"431",1877,1.24,"Nordeste","Bahia","Female","C1",40,"R$3.400 – R$9.999","Always","Colegial incompleto (até 2ª série do ensino médio)","A little","Low","Partido Trabalhista Brasileiro (PTB)","Support Partially","Center","Henrique Meirelles (MDB)","Don't Know",NA,NA,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Sim","Partido Trabalhista Brasileiro (PTB)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.532733933419229
"432",4006,0.96,"Sudeste","Rio de Janeiro","Male","C2",29,"R$1.200 – R$1.799","Often","Colegial completo (3ª série do ensino médio)","A little","Low",NA,"Neutral","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Don't Know",0.0467353794135136
"433",1684,0.85,"Sudeste","São Paulo","Female","C2",30,"R$1.800 – R$3.399","Always","Colegial completo (3ª série do ensino médio)","Somewhat","Low",NA,"Support Partially","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Geraldo Alckmin (PSDB)","Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Somewhat","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Correct","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.0381284868173019
"434",1993,0.85,"Sudeste","Minas Gerais","Female","C2",25,"R$1.200 – R$1.799","Always","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Somewhat","Highest","Movimento Democrático Brasileiro (MDB)","Oppose Totally","Left","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Somewhat","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Correct","Correct","Incorrect","Correct","Incorrect","Correct","Correct","Correct","Correct",-0.917578023434828
"435",2498,0.85,"Sudeste","Rio de Janeiro","Female","C2",26,"R$300 - R$599","Often","Colegial incompleto (até 2ª série do ensino médio)","A little","Low","Partido dos Trabalhadores (PT)","Support Partially","Don't Know","Henrique Meirelles (MDB)","Don't Know",NA,NA,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Somewhat","Não sei",NA,"","Sim","Partido dos Trabalhadores (PT)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",0.0137667104873203
"436",2616,0.84,"Sudeste","Rio de Janeiro","Male","B2",81,"R$3.400 – R$9.999","Often","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Very","Low","Movimento Democrático Brasileiro (MDB)","Neutral","Left","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Ciro Gomes (PDT)","Fernando Haddad (PT)","Henrique Meirelles (MDB)","Very","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Correct","Correct",0.0970571645124638
"437",4930,0.79,"Sul","Rio Grande do Sul","Male","C1",37,"R$1.800 – R$3.399","Rarely","Colegial completo (3ª série do ensino médio)","A little","Low",NA,"Oppose Totally","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Correct","Correct",0.0970571645124638
"438",2869,0.75,"Nordeste","Maranhão","Female","C1",27,NA,"Rarely","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Not at all","Low",NA,"Oppose Totally","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","João Amoêdo (NOVO)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"439",4898,0.74,"Sul","Rio Grande do Sul","Male","C2",26,"R$1.200 – R$1.799","Sometimes","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Very","High","Partido Trabalhista Brasileiro (PTB)","Support Partially","Left","Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",1,"Jair Bolsonaro (PSL)","Henrique Meirelles (MDB)","Ciro Gomes (PDT)","Somewhat","Sim","Partido Trabalhista Brasileiro (PTB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Correct","Incorrect","Correct","Correct","Correct","Correct",-0.422972576832901
"440",3342,0.71,"Sul","Paraná","Female","C1",41,"R$1.800 – R$3.399","Always","Colegial completo (3ª série do ensino médio)","A little","Lowest","Partido da República (PR)","Oppose Partially","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Henrique Meirelles (MDB)","Very","Sim","Partido da República (PR)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Incorrect","Correct","Correct","Incorrect",0.565702602345422
"441",1623,0.7,"Sul","Rio Grande do Sul","Female","D-E",22,"R$300 - R$599","Always","Ginásio completo (8ª série do ensino fundamental)","A little","Low","Partido da Social Democracia Brasileira (PSDB)","Don't Know","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Very","Não",NA,"","Sim","Partido da Social Democracia Brasileira (PSDB)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.532733933419229
"442",2748,0.67,"Sudeste","Rio de Janeiro","Male","B1",46,"R$1.800 – R$3.399","Always","Colegial completo (3ª série do ensino médio)","Somewhat","Lowest","Partido Progressista (PP)","Neutral","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Fernando Haddad (PT)","João Amoêdo (NOVO)","Geraldo Alckmin (PSDB)","A little","Sim","Partido Progressista (PP)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Incorrect","Incorrect",0.623439490843357
"443",3016,0.66,"Sul","Rio Grande do Sul","Female","C2",30,"R$1.200 – R$1.799","Sometimes","Ensino universitário completo","A little","Lowest","Partido da Social Democracia Brasileira (PSDB)","Support Partially","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Somewhat","Sim","Partido da Social Democracia Brasileira (PSDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Incorrect",0.648993056370565
"444",3010,0.62,"Sudeste","Rio de Janeiro","Male","C1",33,"R$3.400 – R$9.999","Rarely","Ensino universitário completo","Somewhat","Highest",NA,"Support Partially","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","João Amoêdo (NOVO)","Very","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Correct","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct","Correct","Correct",-1.02136508691733
"445",3489,0.62,"Sudeste","Espírito Santo","Male","C1",26,"R$1.800 – R$3.399","Sometimes","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Lowest",NA,"Neutral","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Ciro Gomes (PDT)","Henrique Meirelles (MDB)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Incorrect","Incorrect",0.7067299448685
"446",2303,0.59,"Centro Oeste","Goiás","Female","C1",25,"R$1.800 – R$3.399","Often","Ensino universitário completo","Somewhat","Lowest",NA,"Oppose Totally","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Somewhat","Não",NA,"","Não sei",NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Don't Know",0.565702602345422
"447",4773,0.55,"Sudeste","Rio de Janeiro","Female","C1",25,"R$600 – R$899","Always","Colegial incompleto (até 2ª série do ensino médio)","Somewhat","Low","Partido Social Cristão (PSC)","Neutral","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","Very","Não",NA,"","Sim","Partido Social Cristão (PSC)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Incorrect",0.0467353794135136
"448",4470,0.52,"Sul","Santa Catarina","Male","B1",53,"Mais de R$28.000","Rarely","Ensino universitário completo","Very","Low","Movimento Democrático Brasileiro (MDB)","Neutral","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Very","Sim","Movimento Democrático Brasileiro (MDB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Correct","Correct","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.432049317684715
"449",4926,0.48,"Sul","Rio Grande do Sul","Male","C1",26,"R$1.200 – R$1.799","Sometimes","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Somewhat","Highest","Partido Trabalhista Brasileiro (PTB)","Neutral","Left","Henrique Meirelles (MDB)","Ciro Gomes (PDT)","Ciro Gomes (PDT)",1,"João Amoêdo (NOVO)","Alvaro Dias (PODE)","Henrique Meirelles (MDB)","Somewhat","Sim","Partido Trabalhista Brasileiro (PTB)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Incorrect","Correct",-0.884202911266875
"450",733,0.41,"Sudeste","São Paulo","Female","C2",18,"R$1.200 – R$1.799","Sometimes","Colegial completo (3ª série do ensino médio)","Somewhat","Highest","Partido Verde (PV)","Support Partially","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Somewhat","Não sei",NA,"","Sim","Partido Verde (PV)","","Henrique Meirelles (MDB)","",NA,NA,"","Incorrect","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Correct","Incorrect",-0.908971130838616
"451",1413,0.41,"Sudeste","Rio de Janeiro","Female","C2",24,"R$900 – R$1.199","Always","Ensino universitário incompleto ou especialização (técnico após ensino médio)","A little","Low","Partido dos Trabalhadores (PT)","Support Partially","Don't Know","Henrique Meirelles (MDB)","Fernando Haddad (PT)","Fernando Haddad (PT)",1,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Henrique Meirelles (MDB)","Not at all","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Henrique Meirelles (MDB)","",NA,NA,"","Don't Know","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
